agencyCode,agencyName,currentUII,investmentName,metricDescription,performanceMeasurementCategory,unitOfMeasure,reportingFrequency,agencyBaselineCapability,measurementCondition,target2022PY,target2023CY,dateOfLatestActualResult,latestActualResult,metTarget,isRetired,updatedTime
009,"Department of Health and Human Services",009-000353235,"FDA ORA Imports","Prompt response to Priority 1 Help Desk Tickets, as measured by the percentage of Priority 1 Help Desk Tickets acknowledged and investigation begun within 15 minutes.  Metric will measure all tickets received by the contractor over the period","Customer Satisfaction","% of Priority 1 HD Tickets",Monthly,,"Over target",98,,2023-04-14,100,MET,false,"2023-04-25 16:34:28"
009,"Department of Health and Human Services",009-000000706,"HRSA - OIT Electronic Handbooks (EHBs)","Number of days to complete a Federal Financial Report","Strategic and Business Results",Days,Quarterly,,"Under target",31,,2023-07-07,30,MET,false,"2023-07-24 11:37:02"
009,"Department of Health and Human Services",009-000277861,"CDC World Trade Center Program Management and Administration","The investment will work will all stakeholders to ensure accuracy in the reporting the Avoidance of Antibiotic Treatment in Adults with Acute Bronchitis is a certified NCQA HEDIS measure that uses an inverted dispensing ratio to assess the appropriateness of antibiotic dispensing among those with acute bronchitis.  IT will ensure the data is available and accurate to 100% to ensure the reporting is reliable. ","Strategic and Business Results","Percent of averted acute bronchitis episodes",Annual,,"Over target",100,,2022-12-22,100,MET,false,"2023-07-24 09:05:12"
009,"Department of Health and Human Services",009-000000706,"HRSA - OIT Electronic Handbooks (EHBs)","Application availability to users","Customer Satisfaction",Percent,Monthly,,"Over target",95,,2023-07-07,100,MET,false,"2023-07-24 11:37:00"
009,"Department of Health and Human Services",009-000353235,"FDA ORA Imports","Resolution of system issues, as measured by the percentage of Priority 1 Help Desk Tickets resolved within 3 calendar days. Metric will measure all tickets received by the contractor over the period.","Strategic and Business Results","% of Priority 1 HD Tickets",Monthly,,"Over target",98,,2023-04-14,100,MET,false,"2023-04-25 16:34:27"
009,"Department of Health and Human Services",009-000402093,"FDA CDER OTS Product Review & Approval","OCS Data Central: For all new and updated applications available in EDR, load greater than or equal to 95% into OCS Data Central within 24 hours","Strategic and Business Results","Percentage of applications available within 24 hrs",Monthly,,"Over target",95,,2022-08-31,100,MET,false,"2022-10-27 08:45:33"
009,"Department of Health and Human Services",009-000000704,"CMS Enterprise Data and Database Management","Provide a high percentage of system security with low incident percentage","Strategic and Business Results",Percentage,Monthly,,"Under target",95,,2023-07-25,92,MET,false,"2023-07-26 13:59:43"
009,"Department of Health and Human Services",009-000333786,"CMS Unified Case Management (UCM)","Help Desk hold time:  Callers are placed on hold for an acceptable period of time","Customer Satisfaction",Time,Monthly,,"Under target",6,,2023-05-08,0.1,MET,false,"2023-07-24 17:10:08"
009,"Department of Health and Human Services",009-000001384,"CDC Federal Select Agent Program (FSAP)","High Systems Security  Vulnerabilities mitigated within 30 Days of finding","Customer Satisfaction",Percentage,Monthly,,"Over target",99,,2023-01-31,100,MET,true,"2023-02-28 08:14:14"
009,"Department of Health and Human Services",009-000338727,"FDA CDER Integrated Work Management","Reduce manual product lookup through availability of curated product data","Strategic and Business Results",%,Semi-Annual,,"Over target",95,,2022-12-31,99.5,MET,false,"2023-01-25 16:41:22"
009,"Department of Health and Human Services",009-000333786,"CMS Unified Case Management (UCM)","Backlog Items Attempted vs Completed","Strategic and Business Results",80%,Quarterly,,"Over target",8,,2023-05-08,16,MET,false,"2023-07-24 17:10:07"
009,"Department of Health and Human Services",009-000001468,"CMS Healthcare Integrated General Ledger Accounting System (HIGLAS)","Percent of Sev1 Incidents ( INCs) Communicated to CMS within 1 hour of detection","Strategic and Business Results",Percentage,Monthly,,"Over target",94,,2023-05-31,100,MET,false,"2023-07-24 16:56:54"
009,"Department of Health and Human Services",009-000001413,"NIH ES NIH Business System (NBS)","Schedule variance of monthly release deployments","Strategic and Business Results",Percentage,Annual,,"Over target",10,,2022-09-30,10,MET,false,"2023-05-25 12:35:06"
009,"Department of Health and Human Services",009-000001462,"OS GrantSolutions","Avoidance Cost for Comparable Functionality","Financial Performance",$(m),Semi-Annual,,"Over target",106.865,,2023-03-31,109,MET,false,"2023-04-28 10:38:31"
009,"Department of Health and Human Services",009-000314914,"CMS Master Data Management (MDM)","MDM Data Extract and Web Services are available for customer usage","Strategic and Business Results",Percentage,Monthly,,"Over target",86,,2023-06-30,86,MET,false,"2023-07-24 16:57:09"
009,"Department of Health and Human Services",009-000001384,"CDC Federal Select Agent Program (FSAP)","Total systems up-time during business hours (7am - 7pm weekdays, excluding Federal Holidays)","Customer Satisfaction",Percentage,Monthly,,"Over target",99,,2023-06-30,100,MET,false,"2023-07-24 09:05:15"
009,"Department of Health and Human Services",009-000000706,"HRSA - OIT Electronic Handbooks (EHBs)","Percentage of grants with no conditions 120 days after award","Strategic and Business Results",Percent,Monthly,,"Over target",70,,2023-07-07,98,MET,false,"2023-07-24 11:37:01"
009,"Department of Health and Human Services",009-000316503,"CMS MACBIS (Medicaid & CHIP Business Information and Solutions)","System Usability Scale (SUS) for Operations Dashboard","Customer Satisfaction",Percentage,Monthly,,"Over target",68,,2023-07-10,66.65,"NOT MET",false,"2023-07-24 16:57:14"
009,"Department of Health and Human Services",009-000333786,"CMS Unified Case Management (UCM)","Help Desk:  Average Call Handle Time","Customer Satisfaction",Time,Monthly,,"Under target",10,,2023-05-08,5.09,MET,false,"2023-07-24 17:10:07"
009,"Department of Health and Human Services",009-000338727,"FDA CDER Integrated Work Management","Increase the availability of facility data integrated with product and application","Strategic and Business Results",%,Semi-Annual,,"Over target",95,,2023-02-01,99.5,MET,false,"2023-03-21 15:09:10"
009,"Department of Health and Human Services",009-000316503,"CMS MACBIS (Medicaid & CHIP Business Information and Solutions)","Percentage of time that the system is available for users (excluding scheduled and unscheduled CMS infrastructure downtime). For OD and DQT.","Customer Satisfaction",Percentage,Monthly,,"Over target",90,,2023-07-10,100,MET,false,"2023-07-24 16:57:13"
009,"Department of Health and Human Services",009-000001359,"IHS National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements","Investment actual costs are within 10% or less of planned expenditures","Financial Performance",percentage,Annual,,"Over target",90,,2022-09-30,90,N/A,false,"2022-10-24 17:03:02"
009,"Department of Health and Human Services",009-000001422,"ACF Expanded Federal Parent Locator Service (OCSS)","Number of FPLS data processing standards met in the month.","Customer Satisfaction","# of standards met",Monthly,6,"Over target",10,,2023-05-31,10,MET,false,"2023-07-26 14:14:49"
009,"Department of Health and Human Services",009-000000833,"NIH NCI Cancer Therapy Evaluation Program (CTEP)","Prime Support contract spending does not exceed 5% of funded amount for the contract year","Financial Performance",Percentage,Annual,,"Under target",5,,,,,false,"2022-10-14 09:39:33"
009,"Department of Health and Human Services",009-000461768,"CDC Natl Ctr For Emerging and Zoonotic Infectious Diseases DCIPHER System as a Service","Monthly and progressive assessment report of 5 use targets:
User base
Compute and storage
Analytic data processing
Data Interconnections
Cloud environment
optimization
To evaluate usage compared to licensing levels to allow for scalable licensing and services.","Strategic and Business Results","# of Reports",Monthly,12,"Over target",12,,2023-06-20,9,"NOT MET",false,"2023-07-24 09:05:18"
009,"Department of Health and Human Services",009-000461747,"CDC Pandemic-Ready Interoperable Modernization Effort (PRIME) System","Plans are to connect 1 public health lab to 1 care provider for 1 particular use case (i.e., newborn screening) for ETOR.","Strategic and Business Results","Number of PHL to CP for ETOR",Annual,,"Over target",1,,,,,false,"2022-10-13 11:45:32"
009,"Department of Health and Human Services",009-000407564,"CMS Central Data Abstraction Tool (CDAT) Modernized","System Audit Findings during the annual Adaptive Capabilities Testing (ACT) - Number of Critical Findings identified during the Office of Information Technology (OIT) facilitated testing.",Innovation,Number,Annual,,"Under target",1,,2022-09-27,0,MET,false,"2022-10-13 11:55:57"
009,"Department of Health and Human Services",009-000461775,"CDC NCIRD Tiberius Platform","Percentage of jurisdictions using system to meet their business needs","Strategic and Business Results","Percent ",Quarterly,,"Over target",85,,2023-03-31,100,MET,false,"2023-04-26 09:18:08"
009,"Department of Health and Human Services",009-000316811,"CMS Healthcare Web Support","Percent of time APIs are healthy.","Strategic and Business Results",Percent,Monthly,95,"Over target",95,,2023-06-14,100,MET,false,"2023-07-24 16:56:54"
009,"Department of Health and Human Services",009-000333786,"CMS Unified Case Management (UCM)","Help Desk tickets are resolved during the first call without need for further actions.T","Strategic and Business Results",Percentage,Monthly,,"Over target",80,,2023-05-08,84,MET,false,"2023-07-24 17:10:06"
009,"Department of Health and Human Services",009-000255276,"FDA CTP Regulatory Compliance and Inspection","Not to exceed 15% delta on planned cost 
","Financial Performance",Percentage,Quarterly,,"Under target",15,,2023-03-31,0.11,MET,false,"2023-04-25 16:34:33"
009,"Department of Health and Human Services",009-000338730,"FDA CDER Marketplace for Regulatory Data","No. of times users accessed Mercado reports and dashboards in month","Strategic and Business Results","Report and Dashboard access count/month",Monthly,,"Over target",180000,,2023-04-30,252840,MET,false,"2023-05-23 19:40:07"
009,"Department of Health and Human Services",009-000447552,"CMS API Gateway","Experience PECOS Providers API calls by HITECH and NGS Integration Layer","Strategic and Business Results",1,Monthly,,"Over target",450,,2023-05-10,4472,MET,false,"2023-06-29 14:56:57"
009,"Department of Health and Human Services",009-000318789,"FDA CDER Integrated Data Management","Increase the availability of facility and supply chain data integrated with product and application","Customer Satisfaction",%,Semi-Annual,,"Over target",95,,2023-01-31,99.99,MET,false,"2023-03-21 15:09:14"
009,"Department of Health and Human Services",009-000001359,"IHS National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements","Activities and Technology: Security Certification and Accreditation - percent of security requirements are met within 5 business days of agreed upon date with OIT Security and are acceptable.","Strategic and Business Results",percentage,Monthly,,"Over target",95,,2023-06-30,100,MET,false,"2023-07-24 10:58:35"
009,"Department of Health and Human Services",009-000000706,"HRSA - OIT Electronic Handbooks (EHBs)","Amount of time to process a competitive grant award","Strategic and Business Results",Days,Semi-Annual,,"Under target",200,,2023-04-05,128,MET,false,"2023-04-26 09:31:47"
009,"Department of Health and Human Services",009-000333926,"FDA OC Information Governance","Requests by new user for access to Relativity Review platform. Days for Operations to complete user creation following approval of Relativity User Access request (FDA-4065).  This does not include end user training or other onboarding tasks.
","Strategic and Business Results","# of business days",Monthly,,"Under target",2,,2023-05-03,0,MET,false,"2023-05-23 19:39:59"
